Date,Open,High,Low,Close,PrevClose,Change,Pchange
6/20/2022,22.7575,23.635,16.0025,22.4125,22.7575,-0.35,-1.52
6/21/2022,22.4125,22.4125,20.48,21.1425,22.4125,-1.27,-5.67
6/22/2022,21.1425,21.785,19.32,21.3,21.1425,0.16,0.74
6/23/2022,21.3,21.71,18.355,20.88,21.3,-0.42,-1.97
6/24/2022,20.88,21.2725,18.6825,20.55,20.88,-0.33,-1.58
6/27/2022,20.55,21.12,19.545,21.005,20.55,0.46,2.21
6/28/2022,21.005,21.68,20.5125,21.45,21.005,0.45,2.12
6/29/2022,21.45,22.085,21.45,21.9,21.45,0.45,2.1
6/30/2022,21.9,22.2725,21.5375,21.84,21.9,-0.06,-0.27
7/1/2022,21.84,22.43,21.1425,21.25,21.84,-0.59,-2.7
7/4/2022,21.25,22.2475,20.9225,20.9725,21.25,-0.28,-1.31
7/5/2022,20.9725,20.9925,20.235,20.7875,20.9725,-0.19,-0.88
7/6/2022,20.7875,20.7875,19.8225,20.2675,20.7875,-0.52,-2.5
7/7/2022,20.2675,20.2675,19.0125,19.2025,20.2675,-1.07,-5.25
7/8/2022,19.2025,19.2025,18.22,18.395,19.2025,-0.81,-4.21
7/11/2022,18.395,19.215,16.6475,18.3675,18.395,-0.03,-0.15
7/12/2022,18.3675,18.6375,17.3,18.5475,18.3675,0.18,0.98
7/13/2022,18.5475,18.7625,17.735,18.52,18.5475,-0.03,-0.15
7/14/2022,18.52,18.69,17.75,18.34,18.52,-0.18,-0.97
7/15/2022,18.34,18.34,17.53,17.5975,18.34,-0.74,-4.05
7/18/2022,17.5975,18.1825,16.47,17.16,17.5975,-0.44,-2.49
7/19/2022,17.16,17.6675,16.3525,17.2025,17.16,0.04,0.25
7/20/2022,17.2025,17.2725,15.6575,16.8225,17.2025,-0.38,-2.21
7/21/2022,16.8225,17.2075,15.9725,16.8575,16.8225,0.04,0.21
7/22/2022,16.8575,16.9625,16.1625,16.65,16.8575,-0.21,-1.23
7/25/2022,16.65,17.9075,16.1775,17.68,16.65,1.03,6.19
7/26/2022,17.68,18.2675,17.355,18.17,17.68,0.49,2.77
7/27/2022,18.17,18.635,17.7525,18.13,18.17,-0.04,-0.22
7/28/2022,18.13,18.13,16.8375,17.0125,18.13,-1.12,-6.16
7/29/2022,17.0125,18.645,16.49,16.55,17.0125,-0.46,-2.72
8/1/2022,16.55,17.625,15.8925,17.485,16.55,0.94,5.65
8/2/2022,17.485,18.755,17.485,18.53,17.485,1.05,5.98
8/3/2022,18.53,19.1725,17.95,18.45,18.53,-0.08,-0.43
8/4/2022,18.45,21.06,17.625,19.2575,18.45,0.81,4.38
8/5/2022,19.2575,19.39,18.0075,18.915,19.2575,-0.34,-1.78
8/8/2022,18.915,20.18,17.78,19.3025,18.915,0.39,2.05
8/10/2022,19.3025,20.77,18.8575,19.5875,19.3025,0.29,1.48
8/11/2022,19.5875,19.5875,18.2,18.355,19.5875,-1.23,-6.29
8/12/2022,18.355,18.525,17.41,17.6075,18.355,-0.75,-4.07
8/16/2022,17.6075,18.355,17.005,17.685,17.6075,0.08,0.44
8/17/2022,17.685,17.7875,16.5475,17.6775,17.685,-0.01,-0.04
8/18/2022,17.6775,18.44,16.715,17.35,17.6775,-0.33,-1.85
8/19/2022,17.35,18.5675,16.875,18.285,17.35,0.94,5.39
8/22/2022,18.285,19.295,17.2,19.0375,18.285,0.75,4.12
8/23/2022,19.0375,19.59,18.1775,19.05,19.0375,0.01,0.07
8/24/2022,19.05,19.3425,17.9875,18.43,19.05,-0.62,-3.25
8/25/2022,18.43,20.215,17.275,19.57,18.43,1.14,6.19
8/26/2022,19.57,19.57,15.825,18.215,19.57,-1.36,-6.92
8/29/2022,18.215,21.205,18.215,19.8225,18.215,1.61,8.83
8/30/2022,19.8225,19.8225,17.2575,18.7,19.8225,-1.12,-5.66
9/1/2022,18.7,20.9875,18.105,19.8725,18.7,1.17,6.27
9/2/2022,19.8725,20.1425,17.4025,19.55,19.8725,-0.32,-1.62
9/5/2022,19.55,20.29,19.45,19.6625,19.55,0.11,0.58
9/6/2022,19.6625,20,18.645,19.525,19.6625,-0.14,-0.7
9/7/2022,19.525,20.175,18.2775,19.3675,19.525,-0.16,-0.81
9/8/2022,19.3675,19.3675,17.3025,18.305,19.3675,-1.06,-5.49
9/9/2022,18.305,18.51,16.545,17.7175,18.305,-0.59,-3.21
9/12/2022,17.7175,18.3825,16.3925,17.9375,17.7175,0.22,1.24
